clubName,leagueName,countryName,clubLogo,countryFlag
Seongnam FC,Korean K League 1,Korea Republic,https://asefifaplayers.s3.eu-central-1.amazonaws.com/clubLogo/Seongnam+FC.png,https://asefifaplayers.s3.eu-central-1.amazonaws.com/countryFlags/Korea+Republic.png
IK Start,Norwegian Eliteserien,Norway,https://asefifaplayers.s3.eu-central-1.amazonaws.com/clubLogo/IK+Start.png,https://asefifaplayers.s3.eu-central-1.amazonaws.com/countryFlags/Norway.png
Córdoba CF,Spanish Segunda División,Spain,https://asefifaplayers.s3.eu-central-1.amazonaws.com/clubLogo/Córdoba+CF.png,https://asefifaplayers.s3.eu-central-1.amazonaws.com/countryFlags/Spain.png
Gil Vicente FC,Portuguese Liga ZON SAGRES,Portugal,https://asefifaplayers.s3.eu-central-1.amazonaws.com/clubLogo/Gil+Vicente+FC.png,https://asefifaplayers.s3.eu-central-1.amazonaws.com/countryFlags/Portugal.png
Macclesfield Town,English League Two,England,https://asefifaplayers.s3.eu-central-1.amazonaws.com/clubLogo/Macclesfield+Town.png,https://asefifaplayers.s3.eu-central-1.amazonaws.com/countryFlags/England.png
Terek Grozny,Russian Premier League,Russia,https://asefifaplayers.s3.eu-central-1.amazonaws.com/clubLogo/Terek+Grozny.png,https://asefifaplayers.s3.eu-central-1.amazonaws.com/countryFlags/Russia.png
Tiburones Rojos de Veracruz,Mexican Liga MX,Mexico,https://asefifaplayers.s3.eu-central-1.amazonaws.com/clubLogo/Tiburones+Rojos+de+Veracruz.png,https://asefifaplayers.s3.eu-central-1.amazonaws.com/countryFlags/Mexico.png
FC Carl Zeiss Jena,German 3. Bundesliga,Germany,https://asefifaplayers.s3.eu-central-1.amazonaws.com/clubLogo/FC+Carl+Zeiss+Jena.png,https://asefifaplayers.s3.eu-central-1.amazonaws.com/countryFlags/Germany.png
CF Reus Deportiu,Spanish Segunda División,Spain,https://asefifaplayers.s3.eu-central-1.amazonaws.com/clubLogo/CF+Reus+Deportiu.png,https://asefifaplayers.s3.eu-central-1.amazonaws.com/countryFlags/Spain.png
Club Blooming,Liga de Fútbol Profesional Boliviano,Bolivia,https://asefifaplayers.s3.eu-central-1.amazonaws.com/clubLogo/Club+Blooming.png,https://asefifaplayers.s3.eu-central-1.amazonaws.com/countryFlags/Bolivia.png
Oriente Petrolero,Liga de Fútbol Profesional Boliviano,Bolivia,https://asefifaplayers.s3.eu-central-1.amazonaws.com/clubLogo/Oriente+Petrolero.png,https://asefifaplayers.s3.eu-central-1.amazonaws.com/countryFlags/Bolivia.png
Belgrano de Córdoba,Argentina Primera División,Argentina,https://asefifaplayers.s3.eu-central-1.amazonaws.com/clubLogo/Belgrano+de+Córdoba.png,https://asefifaplayers.s3.eu-central-1.amazonaws.com/countryFlags/Argentina.png
Fortaleza,Campeonato Brasileiro Série A,Brazil,https://asefifaplayers.s3.eu-central-1.amazonaws.com/clubLogo/Fortaleza.png,https://asefifaplayers.s3.eu-central-1.amazonaws.com/countryFlags/Brazil.png
Chivas USA,USA Major League Soccer,United States,https://asefifaplayers.s3.eu-central-1.amazonaws.com/clubLogo/Chivas+USA.png,https://asefifaplayers.s3.eu-central-1.amazonaws.com/countryFlags/United+States.png
Melgar FBC,Peruvian Primera División,Peru,https://asefifaplayers.s3.eu-central-1.amazonaws.com/clubLogo/Melgar+FBC.png,https://asefifaplayers.s3.eu-central-1.amazonaws.com/countryFlags/Peru.png
Frosinone,Italian Serie B,Italy,https://asefifaplayers.s3.eu-central-1.amazonaws.com/clubLogo/Frosinone.png,https://asefifaplayers.s3.eu-central-1.amazonaws.com/countryFlags/Italy.png
